Data_Size,Cmp_ISort,Cmp_QSort,Cmp_HSort,Cmp_SSort,Acs_ISort,Acs_QSort,Acs_HSort,Acs_SSort,Tim_ISort,Tim_QSort,Tim_HSort,Tim_SSort
100,99,4992,1417,504,200,5576.3,6261.2,1012,0.000045466423034668 ,0.000605010986328125 ,0.000599074363708496 ,0.000064873695373535 
200,199,20021.6,3145.7,1204,400,21225.6,14150.4,2412,0.000083875656127930 ,0.002358841896057120 ,0.001776027679443350 ,0.000152182579040527 
300,299,44974.4,4967.7,2105,600,46780.3,22628.4,4214,0.000125837326049804 ,0.005082130432128900 ,0.001672267913818350 ,0.000269246101379394 
400,399,80013.3,6899.3,2804,800,82403.1,31631.2,5612,0.000200057029724121 ,0.009972071647644040 ,0.002491593360900870 ,0.000377988815307617 
500,499,125035,8864.3,3507,1000,128060.8,40523.6,7018,0.000236988067626953 ,0.015161800384521400 ,0.002957963943481440 ,0.000482177734375000 
600,599,179964.5,10844.6,4805,1200,183574.3,50184,9614,0.000281906127929687 ,0.023861575126647900 ,0.003596949577331540 ,0.000697898864746093 
700,699,244974.6,12884.2,5607,1400,249253.5,59906.8,11218,0.000303912162780761 ,0.030645847320556600 ,0.004444026947021480 ,0.000826263427734375 
800,799,319986.3,14980.4,6404,1600,324878.4,69687.2,12812,0.000352215766906738 ,0.038513016700744600 ,0.005140924453735350 ,0.000925159454345703 
900,899,404929.6,17087.3,7205,1800,410386.2,79418,14414,0.000390577316284179 ,0.054752254486083900 ,0.006088876724243160 ,0.001035141944885250 
1000,999,500180.9,19256.4,8007,2000,505916.6,89176,16018,0.000480818748474121 ,0.063036322593688900 ,0.006508564949035640 ,0.001178264617919920 
1100,1099,605028.5,21397.6,9905,2200,611635.4,99567.6,19814,0.000491738319396972 ,0.074480438232421800 ,0.007469177246093750 ,0.001441740989685050 
1200,1199,719750.9,23487.4,10805,2400,727254.8,110256.8,21614,0.000690650939941406 ,0.093981552124023400 ,0.008103322982788080 ,0.001629185676574700 
1300,1299,845022.1,25791.1,11705,2600,852774.3,120869.2,23414,0.000642824172973632 ,0.110082864761352000 ,0.008324480056762690 ,0.001734852790832510 
1400,1399,979896.5,27932,12607,2800,988314,131595.2,25218,0.000617527961730957 ,0.122897100448608000 ,0.009410500526428220 ,0.001870727539062500 
1500,1499,1125118.4,30266,13508,3000,1133983.9,142217.2,27020,0.000666904449462890 ,0.141217899322509000 ,0.010611057281494100 ,0.002347397804260250 
1600,1599,1279784.3,32434.1,14404,3200,1289627.6,152927.2,28812,0.000697875022888183 ,0.155474615097045000 ,0.010642647743225000 ,0.002387619018554680 
1700,1699,1444931.8,34730.6,15306,3400,1455255,163509.2,30616,0.000786924362182617 ,0.181611156463623000 ,0.013895916938781700 ,0.002325987815856930 
1800,1799,1620159.6,37023.6,16205,3600,1630753,174225.6,32414,0.000854659080505371 ,0.198152852058410000 ,0.012585783004760700 ,0.003463435173034660 
1900,1899,1804991.7,39360.3,17108,3800,1816502.1,184745.2,34220,0.000864219665527343 ,0.220531940460205000 ,0.013672518730163500 ,0.002534008026123040 
2000,1999,1999696.9,41636,18007,4000,2011894.9,195522.4,36018,0.000912189483642578 ,0.247299814224243000 ,0.014138150215148900 ,0.002788496017456050 
2100,2099,2205031.5,43966.3,21005,4200,2217303,206395.6,42014,0.000933790206909179 ,0.273045778274536000 ,0.015869641304016100 ,0.003132486343383780 
2200,2199,2420006.5,46290.9,22005,4400,2433264.9,218028.8,44014,0.000978231430053711 ,0.306841897964477000 ,0.016298961639404200 ,0.003331089019775390 
2300,2299,2644886.3,48642.8,23008,4600,2658808,229393.2,46020,0.001013088226318350 ,0.348823833465576000 ,0.016729736328125000 ,0.003502202033996580 
2400,2399,2880150.4,50912.1,24005,4800,2894435.3,240949.6,48014,0.001102709770202630 ,0.378887939453125000 ,0.017563152313232400 ,0.003689455986022940 
