Data_Size,Cmp_ISort,Cmp_QSort,Cmp_HSort,Cmp_SSort,Acs_ISort,Acs_QSort,Acs_HSort,Acs_SSort,Tim_ISort,Tim_QSort,Tim_HSort,Tim_SSort
100,4950,4950,1190,668,15048,5544,4378,2376,0.001476764678955070 ,0.000593900680541992 ,0.000594854354858398 ,0.000164675712585449 
200,19900,19900,2741,1628,60098,21094,10292,5736,0.005850076675415030 ,0.002263069152832030 ,0.001627922058105460 ,0.000374960899353027 
300,44850,44850,4296,2812,135148,46644,16498,9624,0.013313293457031200 ,0.004903793334960930 ,0.002326965332031250 ,0.000637245178222656 
400,79800,79800,6045,3848,240198,82194,23340,13456,0.023868799209594700 ,0.009036779403686520 ,0.003358602523803710 ,0.000915217399597167 
500,124750,124750,7752,5116,375248,127744,30166,18632,0.037551879882812500 ,0.014525175094604400 ,0.002691030502319330 ,0.001257777214050290 
600,179700,179700,9567,6512,540298,183294,37352,22224,0.054641962051391600 ,0.020413637161254800 ,0.002951145172119140 ,0.001542544364929190 
700,244650,244650,11380,7839,735348,248844,44614,27358,0.078433513641357400 ,0.028086423873901300 ,0.003498315811157220 ,0.001974487304687500 
800,319600,319600,13302,8888,960398,324394,52106,30896,0.100664615631103000 ,0.038033008575439400 ,0.004055976867675780 ,0.002233338356018060 
900,404550,404550,15073,10493,1215448,409944,59614,37706,0.130766630172729000 ,0.048354387283325100 ,0.004691839218139640 ,0.002821397781372070 
1000,499500,499500,16957,11716,1500498,505494,67090,42232,0.163115739822387000 ,0.066569805145263600 ,0.005521774291992180 ,0.004098916053771970 
1100,604450,604450,18872,13383,1815548,611044,74934,45038,0.210869550704956000 ,0.073550224304199200 ,0.006650447845458980 ,0.003293395042419430 
1200,719400,719400,20852,14812,2160598,726594,82898,50424,0.234505176544189000 ,0.085988759994506800 ,0.008853197097778320 ,0.004236507415771480 
1300,844350,844350,22792,16593,2535648,852144,90772,57906,0.269707679748535000 ,0.103660583496093000 ,0.007998704910278320 ,0.004137134552001950 
1400,979300,979300,24726,17759,2940698,987694,98692,61678,0.332600116729736000 ,0.134919881820678000 ,0.008283138275146480 ,0.005486965179443350 
1500,1124250,1124250,26981,19118,3375748,1133244,107514,66620,0.353876590728759000 ,0.138724088668823000 ,0.009497642517089840 ,0.005140256881713860 
1600,1279200,1279200,28814,20168,3840798,1288794,115112,69776,0.409774541854858000 ,0.151139259338378000 ,0.009426593780517570 ,0.005446600914001460 
1700,1444150,1444150,30926,21556,4335848,1454344,123496,74872,0.466369152069091000 ,0.174993276596069000 ,0.010319709777832000 ,0.006482648849487300 
1800,1619100,1619100,32854,23673,4860898,1629894,131474,84386,0.508070945739746000 ,0.192726612091064000 ,0.011298418045043900 ,0.005985093116760250 
1900,1804050,1804050,35155,24541,5415948,1815444,140482,86362,0.588228940963745000 ,0.247799873352050000 ,0.011218547821044900 ,0.006099867820739740 
2000,1999000,1999000,36988,26416,6000998,2010994,148096,94432,0.632118701934814000 ,0.289277553558349000 ,0.012344837188720700 ,0.007082152366638180 
2100,2203950,2203950,39411,28378,6616048,2216544,157542,94596,0.716312408447265000 ,0.270671606063842000 ,0.013098001480102500 ,0.007358551025390620 
2200,2418900,2418900,41340,30051,7261098,2432094,165694,101046,0.773493051528930000 ,0.285725831985473000 ,0.013933897018432600 ,0.007497286796569820 
2300,2643850,2643850,43926,32926,7936148,2657644,175420,114652,0.848953485488891000 ,0.345253705978393000 ,0.014554023742675700 ,0.009142851829528800 
2400,2878800,2878800,45654,33212,8641198,2893194,182892,112824,0.960384607315063000 ,0.340358018875122000 ,0.015358924865722600 ,0.008123254776000970 
2500,3123750,3123750,48127,35658,9376248,3138744,192594,123876,1.025130033493040000 ,0.381315469741821000 ,0.016100883483886700 ,0.009264039993286130 
2600,3378700,3378700,49856,37073,10141298,3394294,200030,128786,1.088110208511350000 ,0.420278072357177000 ,0.018515110015869100 ,0.009636116027832030 
2700,3643650,3643650,52535,38358,10936348,3659844,210306,132876,1.164380788803100000 ,0.426860809326171000 ,0.020464897155761700 ,0.010899472236633300 
2800,3918600,3918600,54333,39699,11761398,3935394,218008,137318,1.257925510406490000 ,0.504092454910278000 ,0.018131732940673800 ,0.010566997528076100 
2900,4203550,4203550,56784,40941,12616448,4220944,227598,141162,1.362051010131830000 ,0.557642459869384000 ,0.018940210342407200 ,0.010291695594787500 
3000,4498500,4498500,58785,42714,13501498,4516494,235986,148196,1.435207605361930000 ,0.602712869644165000 ,0.021510362625122000 ,0.010779070854187000 
3100,4803450,4803450,61681,43401,14416548,4822044,246438,148722,1.544673442840570000 ,0.665279150009155000 ,0.020654916763305600 ,0.011441445350646900 
3200,5118400,5118400,63196,45128,15361598,5137594,253986,155536,1.659773588180540000 ,0.782618522644043000 ,0.021187305450439400 ,0.011569952964782700 
3300,5443350,5443350,65621,48989,16336648,5463144,263428,175050,1.778887271881100000 ,0.741249084472656000 ,0.022631883621215800 ,0.013612365722656200 
3400,5778300,5778300,67311,48196,17341698,5798694,271518,166712,1.859417438507080000 ,0.768741130828857000 ,0.022806644439697200 ,0.012599515914916900 
3500,6123250,6123250,70204,49484,18376748,6144244,282056,170808,1.976043462753290000 ,0.791962862014770000 ,0.029797554016113200 ,0.012954568862915000 
3600,6478200,6478200,71729,52733,19441798,6499794,289720,186746,2.088706970214840000 ,0.880447387695312000 ,0.027675628662109300 ,0.014967823028564400 
3700,6843150,6843150,74417,53407,20536848,6865344,299558,187150,2.193398714065550000 ,0.899849414825439000 ,0.025436639785766600 ,0.013569951057434000 
3800,7218100,7218100,76121,54761,21661898,7240894,307892,191682,2.323312997817990000 ,0.944668531417846000 ,0.025305509567260700 ,0.014602231979370100 
3900,7603050,7603050,79205,57567,22816948,7626444,318970,204894,2.453838348388670000 ,0.916531324386596000 ,0.026747226715087800 ,0.014815783500671300 
4000,7998000,7998000,80664,58816,24001998,8021994,326092,208832,2.593700885772700000 ,0.984901905059814000 ,0.028967857360839800 ,0.016622495651245100 
4100,8402950,8402950,83422,61512,25217048,8427544,336186,205024,2.716657400131220000 ,1.021267652511590000 ,0.028683423995971600 ,0.015299654006958000 
4200,8817900,8817900,84865,63038,26462098,8843094,343898,210156,2.922317743301390000 ,1.077049016952510000 ,0.028801679611206000 ,0.017031311988830500 
