Data_Size,Cmp_ISort,Cmp_QSort,Cmp_HSort,Cmp_SSort,Acs_ISort,Acs_QSort,Acs_HSort,Acs_SSort,Tim_ISort,Tim_QSort,Tim_HSort,Tim_SSort
100,2462.7,624.6,1323.4,843.4,7731.3,1790.6,4979.4,3466.6,0.001199960708618160 ,0.000163745880126953 ,0.000377035140991210 ,0.000212097167968750 
200,10079.1,1604.9,2954.7,2126.5,30480.2,4108.4,11307.6,8555.6,0.005000233650207510 ,0.000453066825866699 ,0.000905776023864746 ,0.000598406791687011 
300,22514.9,2603.4,4701.8,3524.8,67198.6,6654.5,18201,13116.4,0.009700942039489740 ,0.000597643852233886 ,0.001453876495361320 ,0.000899958610534667 
400,40678.8,3664.5,6510.6,5243.7,118494.9,9481.2,25411.2,21420.6,0.018801522254943800 ,0.000967717170715332 ,0.002017188072204590 ,0.001397681236267080 
500,63003.9,4732.5,8371.1,6377.4,190478.9,12146.2,32919.8,25055.4,0.026101875305175700 ,0.001128053665161130 ,0.002598667144775390 ,0.001647567749023430 
600,90075,6131.4,10272.5,8412.2,274237.3,15054.7,40588,32496.4,0.037102532386779700 ,0.001429963111877440 ,0.003219294548034660 ,0.002223086357116690 
700,120792.6,7158.1,12234.4,9887.1,365455.8,18255,48480.4,37819,0.052505350112915000 ,0.001729846000671380 ,0.004153013229370110 ,0.002609992027282710 
800,162170.2,8591.6,14250,12688.7,482768,21412.2,56549.2,52641.4,0.066904950141906700 ,0.001992630958557120 ,0.005242991447448730 ,0.003517127037048330 
900,204155.6,9741.9,16204.3,15064.5,616586.5,23990.9,64606.6,64853.2,0.085606312751770000 ,0.002323412895202630 ,0.005090308189392090 ,0.004346776008605950 
1000,251422,11159.5,18270,15104.2,762762.3,27895,72796.2,61797,0.106708073616027000 ,0.002577614784240720 ,0.005812001228332510 ,0.004064249992370600 
1100,305030.9,12370,20350.4,18150.5,907369.4,31013.3,81104.8,71894.8,0.126792073249816000 ,0.003206396102905270 ,0.007005929946899410 ,0.005131554603576660 
1200,360912.5,13736.9,22347.2,20312.2,1075178.8,33194.4,89609,79147,0.155313062667846000 ,0.003619289398193350 ,0.007231354713439940 ,0.006023240089416500 
